aa_player,aa_player_id,aa_player_team_id,aa_team,aa_team_id,action_area,action_area_id,action_area_injurytime_play,time_slice_id,time_slice_name,competition,kickoff,match_id
1,8206,309,1,309,"
            ",8,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,3,309,"
            ",14,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,2,309,"
            ",9,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,12372,309,9,309,"
            ",10,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,15004,309,5,309,"
            ",11,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,2,309,"
            ",16,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",17,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,10803,309,1,309,"
            ",5,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
2,1174,49,3,49,"
            ",12,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,1,49,"
            ",6,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,1,309,"
            ",3,,16,75 - 80,data/epl,2017-09-11 20:00:00 +0100,32934
1,23637,309,3,309,"
            ",15,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",17,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
2,15035,49,8,49,"
            ",16,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,7969,309,4,309,"
            ",10,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,2,309,"
            ",9,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,20871,309,1,309,"
            ",11,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,10955,49,1,49,"
            ",18,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,3,49,"
            ",4,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,3,49,"
            ",2,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",1,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,10803,309,1,309,"
            ",3,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,10072,309,4,309,"
            ",7,,17,80 - 85,data/epl,2017-09-11 20:00:00 +0100,32934
1,10803,309,1,309,"
            ",6,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",5,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,544,49,1,49,"
            ",4,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,9470,49,3,49,"
            ",10,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,10955,49,7,49,"
            ",11,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,82,49,3,49,"
            ",7,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
2,11309,309,2,309,"
            ",1,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,10803,309,1,309,"
            ",2,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,11309,309,3,309,"
            ",9,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,10504,309,1,309,"
            ",17,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
1,10560,49,7,49,"
            ",8,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
3,15004,309,3,309,"
            ",12,0,18,85 - 90,data/epl,2017-09-11 20:00:00 +0100,32934
