ap_itp_result,ap_itp_result_assists,ap_itp_result_completed,ap_itp_result_failed,ap_itp_result_headed,ap_itp_result_longball,ap_itp_result_team_id,ap_itp_result_through_ball,ap_itp_result_throw_ins,ap_result,ap_result_assists,ap_result_completed,ap_result_failed,ap_result_headed,ap_result_longball,ap_result_team_id,ap_result_through_ball,ap_result_throw_ins,assists,event,event_a,event_action_type,event_injurytime_play,event_k,event_mins,event_minsec,event_player_id,event_secs,event_team_id,event_throw_ins,event_type,headed,long_ball,time_slice_id,time_slice_name,competition,kickoff,match_id,end_x,end_y,start_x,start_y
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,5,303,544,3,49,0,failed,true,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,85.7,44.6,74.9,40.7
,,,,,,,,,3/11,0,3,8,0,0,49,0,0,,,,,,,,,,,,,,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,,,,
,,,,,,,,,13/18,0,13,5,0,0,309,0,1,,,,,,,,,,,,,,,,2,5 - 10,data/epl,2017-09-11 20:00:00 +0100,32934,,,,
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,885,729,45,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,8.8,37.7,24.8,16.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,881,82,41,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,27.4,6.7,12.4,43.7
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,877,729,37,49,0,completed,,true,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,12.4,43.7,30.8,3.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,875,10955,35,49,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,30.9,3.4,47,7.6
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,873,544,33,49,1,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,59.0,9.1,59.2,0
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,14,861,544,21,49,1,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,39.4,3.8,28.4,0
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,13,838,12372,58,309,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,50.6,92.1,37,61.2
,,,,,,,,,,,,,,,,,,,"
            ",,Possession,,,13,836,11309,56,309,0,completed,,,3,10 - 15,data/epl,2017-09-11 20:00:00 +0100,32934,34.9,53.0,43.3,37
